First Name,Last Name,Email,Profession,Chapter Name,Company Name,Website,Address,Postcode,Phone number,Status,Join Date,Renewal Date,Sponsor
Laura,Paullin,lpaullin0@nifty.com,VP Marketing,Paucek-Krajcik,Plambee,http://house.gov,100 Blue Bill Park Pass,22501,508-978-9477,false,14/11/2022,14/07/2022,Laura Paullin
Dimitri,Mackinder,dmackinder1@unblog.fr,Software Engineer IV,"Davis, Hickle and Fay",Browsebug,https://marriott.com,5451 Lerdahl Avenue,,291-864-1806,false,17/03/2023,11/03/2023,Dimitri Mackinder
Dynah,Eplett,deplett2@linkedin.com,Analog Circuit Design manager,"Reynolds, Fisher and Conn",Demimbu,https://123-reg.co.uk,686 Old Gate Plaza,,275-613-1665,false,07/08/2022,18/05/2022,Dynah Eplett
Andrus,McPartlin,amcpartlin3@geocities.jp,Mechanical Systems Engineer,Bradtke-Simonis,Dynabox,https://cbc.ca,7093 Tony Hill,3461,897-314-7997,false,21/01/2023,04/02/2022,Andrus McPartlin
Caralie,Ingree,cingree4@forbes.com,Analog Circuit Design manager,Pfannerstill LLC,Skyba,https://tiny.cc,4928 Logan Park,47685,891-162-3288,false,22/01/2023,10/07/2022,Caralie Ingree
Lanie,Hrycek,lhrycek5@examiner.com,Cost Accountant,Weissnat Inc,Quinu,http://va.gov,28780 Eagle Crest Place,,728-410-5405,false,05/11/2022,30/01/2023,Lanie Hrycek
Angie,Downe,adowne6@bandcamp.com,Registered Nurse,"Fay, Cole and Herzog",Meezzy,http://slideshare.net,52994 Grover Court,,809-658-0733,false,25/11/2022,13/07/2022,Angie Downe
Zebulen,Readings,zreadings7@house.gov,General Manager,Graham and Sons,Mudo,https://stanford.edu,5 Mcguire Circle,,672-292-8547,true,22/04/2022,28/08/2022,Zebulen Readings
Alexia,Van der Beken,avan8@baidu.com,Mechanical Systems Engineer,Breitenberg LLC,Babbleset,http://wp.com,4 Prairieview Place,,921-526-7194,true,29/04/2022,22/01/2022,Alexia Van der Beken
Cassandra,Stolz,cstolz9@jugem.jp,Associate Professor,"Nicolas, Ortiz and Dach",Flipopia,https://sogou.com,98024 4th Trail,346018,332-445-9366,false,23/03/2022,22/08/2022,Cassandra Stolz
Vivyan,Whitmore,vwhitmorea@cpanel.net,Occupational Therapist,"Kuphal, Adams and Crona",Chatterbridge,http://reference.com,78220 Chinook Place,37240,615-339-0264,false,31/01/2023,07/11/2022,Vivyan Whitmore
Martelle,Tanti,mtantib@furl.net,Financial Analyst,Funk LLC,Devpulse,http://weibo.com,5096 Merchant Place,R6M,397-576-0644,true,08/03/2023,02/04/2022,Martelle Tanti
Doretta,Osment,dosmentc@va.gov,Sales Associate,Kub Group,Jabbersphere,http://blogs.com,8 Milwaukee Drive,2755-013,209-111-2734,false,19/03/2022,28/01/2023,Doretta Osment
Leese,Siebert,lsiebertd@google.ca,Payment Adjustment Coordinator,Pollich and Sons,Skivee,http://freewebs.com,6 Michigan Pass,,355-849-9015,false,24/03/2022,14/02/2022,Leese Siebert
Shamus,Kunzelmann,skunzelmanne@pagesperso-orange.fr,Web Developer IV,Langosh-Kling,Leenti,https://kickstarter.com,43 Bayside Hill,,414-966-6968,true,28/07/2022,17/11/2022,Shamus Kunzelmann
Abdul,Truett,atruettf@bbc.co.uk,VP Marketing,"Leffler, Connelly and Schuppe",Babbleopia,https://cbslocal.com,82 Nobel Place,,809-877-8542,false,09/08/2022,05/08/2022,Abdul Truett
